from_stop_id,to_stop_id,transfer_type,min_transfer_time
1-5728,1-5728,2,0
1-5729,1-5719,2,0
1-5729,1-5730,2,0
1-5729,1-5720,2,0
1-5729,1-5723,2,0
1-5729,1-5733,2,0
1-5729,1-5726,2,0
1-5729,1-5734,2,0
1-5729,1-5736,2,0
1-5729,1-5725,2,0
1-5729,1-5804,2,0
1-5729,1-5735,2,0
1-5729,1-5727,2,0
1-5729,1-5728,2,0
1-5729,1-5729,2,0
1-5730,1-5719,2,0
1-5730,1-5720,2,0
1-5730,1-5723,2,0
1-5730,1-5733,2,0
1-5730,1-5726,2,0
1-5730,1-5734,2,0
1-5730,1-5729,2,0
1-5730,1-5736,2,0
1-5730,1-5725,2,0
1-5730,1-5804,2,0
1-5730,1-5735,2,0
1-5730,1-5727,2,0
1-5730,1-5728,2,0
1-5730,1-5730,2,0
1-5733,1-5719,2,0
1-5733,1-5730,2,0
1-5733,1-5720,2,0
1-5733,1-5723,2,0
1-5733,1-5726,2,0
1-5733,1-5734,2,0
1-5733,1-5729,2,0
1-5733,1-5736,2,0
1-5733,1-5725,2,0
1-5733,1-5804,2,0
1-5733,1-5735,2,0
1-5733,1-5727,2,0
1-5733,1-5728,2,0
1-5733,1-5733,2,0
1-5734,1-5719,2,0
1-5734,1-5730,2,0
1-5734,1-5720,2,0
1-5734,1-5723,2,0
1-5734,1-5733,2,0
1-5734,1-5726,2,0
1-5734,1-5729,2,0
1-5734,1-5736,2,0
1-5734,1-5725,2,0
1-5734,1-5804,2,0
1-5734,1-5735,2,0
1-5734,1-5727,2,0
1-5734,1-5728,2,0
1-5734,1-5734,2,0
1-5735,1-5719,2,0
1-5735,1-5730,2,0
1-5735,1-5720,2,0
1-5735,1-5723,2,0
1-5735,1-5733,2,0
1-5735,1-5726,2,0
1-5735,1-5734,2,0
1-5735,1-5729,2,0
1-5735,1-5736,2,0
1-5735,1-5725,2,0
1-5735,1-5804,2,0
1-5735,1-5727,2,0
1-5735,1-5728,2,0
1-5735,1-5735,2,0
1-5736,1-5719,2,0
1-5736,1-5730,2,0
1-5736,1-5720,2,0
1-5736,1-5723,2,0
1-5736,1-5733,2,0
1-5736,1-5726,2,0
1-5736,1-5734,2,0
1-5736,1-5729,2,0
1-5736,1-5725,2,0
1-5736,1-5804,2,0
1-5736,1-5735,2,0
1-5736,1-5727,2,0
1-5736,1-5728,2,0
1-5736,1-5736,2,0
1-5804,1-5719,2,0
1-5804,1-5730,2,0
1-5804,1-5720,2,0
1-5804,1-5723,2,0
1-5804,1-5733,2,0
1-5804,1-5726,2,0
1-5804,1-5734,2,0
1-5804,1-5729,2,0
1-5804,1-5736,2,0
1-5804,1-5725,2,0
1-5804,1-5735,2,0
1-5804,1-5727,2,0
1-5804,1-5728,2,0
1-5804,1-5804,2,0
1-1442,1-2110,2,180
1-1442,1-2009,2,180
1-1442,1-2384,2,180
1-1442,1-1442,2,180
1-2009,1-1442,2,180
1-2009,1-2110,2,180
1-2009,1-2384,2,180
1-2009,1-2009,2,180
1-2110,1-1442,2,180
1-2110,1-2009,2,180
1-2110,1-2384,2,180
1-2110,1-2110,2,180
1-2384,1-1442,2,180
1-2384,1-2110,2,180
1-2384,1-2009,2,180
1-2384,1-2384,2,180
1-1472,1-1504,2,180
1-1472,1-1472,2,180
1-1504,1-1472,2,180
1-1504,1-1504,2,180
1-1830,1-1999,2,180
1-1830,1-1830,2,180
1-1999,1-1830,2,180
1-1999,1-1999,2,180
