stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,wheelchair_boarding
1-3557,3557,Raymond/3557,Nordique / Raymond,46.889744,-71.189003,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/3557,0
1-3916,3916,Raymond/3916,Saint-Michel / Raymond,46.89772,-71.191147,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/3916,0
1-6531,6531,Raymond/6531,Raymond / au 1293,46.921234,-71.198959,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/6531,1
1-6540,6540,Raymond/6540,Raymond / face au 1293,46.921318,-71.19886,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/6540,0
1-3860,3860,Raymond/3860,Saint-Michel / Raymond,46.897804,-71.190926,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/3860,0
1-1828,1828,Beneva,Laurier / R.-Bourassa - Quai A1,46.772903,-71.277084,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/1828,1
1-1978,1978,R.-Bourassa/1978,Laurier / R.-Bourassa - Quai A2,46.772568,-71.277687,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/1978,0
1-6282,6282,Champlain,Boul. Champlain / rue Champlain,46.805161,-71.205345,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/6282,0
1-2469,2469,Rébecca,des Chasseurs / de F.-le-Comte,46.752743,-71.36689,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/2469,0
1-3842,3842,Rébecca,des Chasseurs / Rébecca,46.752567,-71.366562,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/3842,0
1-5671,5671,Régaud,Montpellier / Régaud,46.88279,-71.219704,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/5671,1
1-5675,5675,Régaud,Montpellier / Régaud,46.88308,-71.219803,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/5675,1
1-2039,2039,St-Régis,de la Poterie / Saint-Régis,46.753643,-71.353935,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/2039,1
1-2086,2086,St-Régis,de la Poterie / du Saint-Brieux,46.753456,-71.353592,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/2086,0
1-1185,1185,de la Reine,Langelier / de la Reine,46.813507,-71.231674,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/1185,1
1-1148,1148,de la Reine,Langelier / de la Reine,46.81329,-71.231842,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/1148,0
1-3035,3035,Bourg-la-Reine,de C.-Bigot / du Bourg-la-Reine,46.890087,-71.263893,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/3035,1
1-3044,3044,Bourg-la-Reine,du Comte / du Bourg-la-Reine,46.892696,-71.267883,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/3044,0
1-5775,5775,Rémy,de la Renommée / Rémy,46.831753,-71.354904,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/5775,0
1-1040,1040,Renaud,Saint-Vallier Ouest / Renaud,46.811695,-71.239418,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/1040,1
1-5813,5813,M.-Renaud,V.-Delamarre / M.-Renaud,46.819691,-71.262993,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/5813,0
1-5817,5817,M.-Renaud,V.-Delamarre / M.-Renaud,46.820007,-71.262772,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/5817,0
1-6308,6308,G.-Renaud,La Morille / G.-Renaud,46.840126,-71.310493,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/6308,1
1-6309,6309,G.-Renaud,La Morille / G.-Renaud,46.840244,-71.310188,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/6309,0
1-4779,4779,A.-Renoir,Élisabeth-II / A.-Renoir,46.861828,-71.329247,https://www.rtcquebec.ca/horaires-et-trajets/horaires-des-bus/tous-les-parcours/4779,0
